"option1","option2","option3","word1","word2","word3","word4","word5","word6"
"blu, caramella","coccodrillo, libreria","viola, satellite","blu","caramella","coccodrillo","libreria","viola","satellite"
"stuzzicadenti, coccodrillo","lanterna, documento","﻿anello, spremiagrumi","stuzzicadenti","coccodrillo","lanterna","documento","﻿anello","spremiagrumi"
"equilatero, pidocchio","coccodrillo, agenda","cuscino, succo","equilatero","pidocchio","coccodrillo","agenda","cuscino","succo"
"candela, caramella","diario, cavolo","rosa, libreria","candela","caramella","diario","cavolo","rosa","libreria"
"lavagna, rosa","stuzzicadenti, cavolo","gessetto, pidocchio","lavagna","rosa","stuzzicadenti","cavolo","gessetto","pidocchio"
"viola, equilatero","﻿anello, coccodrillo","giallo, leone","viola","equilatero","﻿anello","coccodrillo","giallo","leone"
"coperta, timone","lattuga, rana","menta, lanterna","coperta","timone","lattuga","rana","menta","lanterna"
"documento, autostrada","rosa, agenda","portafoglio, rana","documento","autostrada","rosa","agenda","portafoglio","rana"
"mais, panchina","spremiagrumi, coccodrillo","rana, leone","mais","panchina","spremiagrumi","coccodrillo","rana","leone"
"﻿anello, satellite","verde, succo","ciotola, giallo","﻿anello","satellite","verde","succo","ciotola","giallo"
"braccialetto, leone","timone, libreria","timone, viola","braccialetto","leone","timone","libreria","timone","viola"
"cuscino, soglia","gessetto, panchina","candela, cuscino","cuscino","soglia","gessetto","panchina","candela","cuscino"
"cipolla, pidocchio","pomodoro, mais","rana, coccodrillo","cipolla","pidocchio","pomodoro","mais","rana","coccodrillo"
"blu, pomodoro","limone, sole","eccentrico, autorità","blu","pomodoro","limone","sole","eccentrico","autorità"
"forchetta, cassettiera","succo, mappa","limone, cipolla","forchetta","cassettiera","succo","mappa","limone","cipolla"
"diario, mappa","gessetto, viola","lanterna, equilibrio","diario","mappa","gessetto","viola","lanterna","equilibrio"
"lanterna, damigiana","stuzzicadenti, sega","forchetta, ciliegio","lanterna","damigiana","stuzzicadenti","sega","forchetta","ciliegio"
"autorità, soglia","satellite, appuntamento","giallo, sole","autorità","soglia","satellite","appuntamento","giallo","sole"
"gessetto, spinaci","panchina, appuntamento","blu, menta","gessetto","spinaci","panchina","appuntamento","blu","menta"
"penna, rosa","rosa, spinaci","pomodoro, documento","penna","rosa","rosa","spinaci","pomodoro","documento"
"timone, equilibrio","damigiana, bersaglio","lattuga, panchina","timone","equilibrio","damigiana","bersaglio","lattuga","panchina"
"coccodrillo, satellite","forchetta, cipolla","cuscino, cavolo","coccodrillo","satellite","forchetta","cipolla","cuscino","cavolo"
"coperta, sole","viola, mais","timone, damigiana","coperta","sole","viola","mais","timone","damigiana"
"sole, coccodrillo","fiammifero, lavagna","panchina, damigiana","sole","coccodrillo","fiammifero","lavagna","panchina","damigiana"
"fiammifero, eccentrico","verde, limone","﻿anello, verde","fiammifero","eccentrico","verde","limone","﻿anello","verde"
"forchetta, lattuga","﻿anello, ciotola","gessetto, cavolo","forchetta","lattuga","﻿anello","ciotola","gessetto","cavolo"
"limone, pidocchio","fiammifero, agenda","limone, coccodrillo","limone","pidocchio","fiammifero","agenda","limone","coccodrillo"
"lavagna, equilatero","diario, lattuga","viola, rosa","lavagna","equilatero","diario","lattuga","viola","rosa"
"fiammifero, viola","viola, cavolo","gessetto, satellite","fiammifero","viola","viola","cavolo","gessetto","satellite"
"coperta, portafoglio","ciotola, mais","verde, spinaci","coperta","portafoglio","ciotola","mais","verde","spinaci"
"rosa, satellite","stuzzicadenti, caramella","fiammifero, coccodrillo","rosa","satellite","stuzzicadenti","caramella","fiammifero","coccodrillo"
"succo, spinaci","sega, soglia","spinaci, cipolla","succo","spinaci","sega","soglia","spinaci","cipolla"
"viola, damigiana","﻿anello, cuscino","verde, bidet","viola","damigiana","﻿anello","cuscino","verde","bidet"
"cipolla, appuntamento","candela, blu","cucchiaio, verde","cipolla","appuntamento","candela","blu","cucchiaio","verde"
"succo, bidet","gessetto, ciliegio","verde, lattuga","succo","bidet","gessetto","ciliegio","verde","lattuga"
"coperta, giallo","cucchiaio, coccodrillo","lattuga, cipolla","coperta","giallo","cucchiaio","coccodrillo","lattuga","cipolla"
"panchina, sega","piatto, spinaci","menta, pomodoro","panchina","sega","piatto","spinaci","menta","pomodoro"
"ciotola, portafoglio","sole, cavolo","cucchiaio, fiammifero","ciotola","portafoglio","sole","cavolo","cucchiaio","fiammifero"
"stuzzicadenti, blu","forchetta, portafoglio","braccialetto, spinaci","stuzzicadenti","blu","forchetta","portafoglio","braccialetto","spinaci"
"posacenere, autorità","ciotola, autorità","lattuga, libreria","posacenere","autorità","ciotola","autorità","lattuga","libreria"
"﻿anello, caramella","cuscino, rosa","forchetta, equilatero","﻿anello","caramella","cuscino","rosa","forchetta","equilatero"
"leone, pidocchio","timone, mappa","giallo, agenda","leone","pidocchio","timone","mappa","giallo","agenda"
"candela, sole","timone, satellite","cucchiaio, cavolo","candela","sole","timone","satellite","cucchiaio","cavolo"
"ciotola, pidocchio","equilatero, cassettiera","piatto, autostrada","ciotola","pidocchio","equilatero","cassettiera","piatto","autostrada"
"piatto, pidocchio","coperta, equilatero","﻿anello, spinaci","piatto","pidocchio","coperta","equilatero","﻿anello","spinaci"
"portafoglio, mais","posacenere, appuntamento","cuscino, penna","portafoglio","mais","posacenere","appuntamento","cuscino","penna"
"cucchiaio, cuscino","rosa, cavolo","mais, posacenere","cucchiaio","cuscino","rosa","cavolo","mais","posacenere"
"timone, rana","pidocchio, documento","rana, posacenere","timone","rana","pidocchio","documento","rana","posacenere"
"penna, menta","cucchiaio, damigiana","forchetta, pomodoro","penna","menta","cucchiaio","damigiana","forchetta","pomodoro"
"fiammifero, autorità","braccialetto, coccodrillo","candela, cipolla","fiammifero","autorità","braccialetto","coccodrillo","candela","cipolla"
"cavolo, pidocchio","giallo, bidet","coccodrillo, leone","cavolo","pidocchio","giallo","bidet","coccodrillo","leone"
"succo, caramella","verde, eccentrico","leone, posacenere","succo","caramella","verde","eccentrico","leone","posacenere"
"caramella, ciliegio","timone, caramella","coccodrillo, bidet","caramella","ciliegio","timone","caramella","coccodrillo","bidet"
"spremiagrumi, caramella","forchetta, lanterna","gessetto, leone","spremiagrumi","caramella","forchetta","lanterna","gessetto","leone"
"penna, cassettiera","diario, bersaglio","ciliegio, libreria","penna","cassettiera","diario","bersaglio","ciliegio","libreria"
"eccentrico, soglia","eccentrico, ciliegio","equilatero, satellite","eccentrico","soglia","eccentrico","ciliegio","equilatero","satellite"
"viola, equilibrio","menta, equilatero","gessetto, giallo","viola","equilibrio","menta","equilatero","gessetto","giallo"
"mais, crostino","﻿anello, eccentrico","crostino, appuntamento","mais","crostino","﻿anello","eccentrico","crostino","appuntamento"
"braccialetto, equilatero","mais, pidocchio","forchetta, eccentrico","braccialetto","equilatero","mais","pidocchio","forchetta","eccentrico"
"candela, stuzzicadenti","eccentrico, autostrada","pomodoro, posacenere","candela","stuzzicadenti","eccentrico","autostrada","pomodoro","posacenere"
"sega, autorità","braccialetto, lattuga","leone, equilibrio","sega","autorità","braccialetto","lattuga","leone","equilibrio"
"eccentrico, documento","penna, pidocchio","viola, documento","eccentrico","documento","penna","pidocchio","viola","documento"
"leone, libreria","eccentrico, satellite","pomodoro, caramella","leone","libreria","eccentrico","satellite","pomodoro","caramella"
"mais, equilatero","eccentrico, crostino","timone, succo","mais","equilatero","eccentrico","crostino","timone","succo"
"portafoglio, succo","lattuga, autostrada","fiammifero, blu","portafoglio","succo","lattuga","autostrada","fiammifero","blu"
"sole, lattuga","lavagna, equilibrio","agenda, autorità","sole","lattuga","lavagna","equilibrio","agenda","autorità"
"braccialetto, bersaglio","timone, giallo","timone, leone","braccialetto","bersaglio","timone","giallo","timone","leone"
"fiammifero, lattuga","rosa, rana","cavolo, lanterna","fiammifero","lattuga","rosa","rana","cavolo","lanterna"
"limone, spremiagrumi","fiammifero, mappa","ciotola, eccentrico","limone","spremiagrumi","fiammifero","mappa","ciotola","eccentrico"
"portafoglio, giallo","forchetta, appuntamento","viola, autostrada","portafoglio","giallo","forchetta","appuntamento","viola","autostrada"
"braccialetto, ciliegio","bersaglio, soglia","limone, bersaglio","braccialetto","ciliegio","bersaglio","soglia","limone","bersaglio"
"bersaglio, autorità","limone, equilatero","lanterna, ciliegio","bersaglio","autorità","limone","equilatero","lanterna","ciliegio"
"penna, bersaglio","rana, cassettiera","cavolo, eccentrico","penna","bersaglio","rana","cassettiera","cavolo","eccentrico"
"equilibrio, autorità","menta, caramella","verde, cavolo","equilibrio","autorità","menta","caramella","verde","cavolo"
"braccialetto, rosa","cucchiaio, blu","cuscino, coccodrillo","braccialetto","rosa","cucchiaio","blu","cuscino","coccodrillo"
"mais, coccodrillo","diario, bidet","penna, stuzzicadenti","mais","coccodrillo","diario","bidet","penna","stuzzicadenti"
"candela, satellite","crostino, pidocchio","﻿anello, sega","candela","satellite","crostino","pidocchio","﻿anello","sega"
"spinaci, panchina","giallo, limone","leone, documento","spinaci","panchina","giallo","limone","leone","documento"
"penna, equilatero","viola, libreria","cucchiaio, rana","penna","equilatero","viola","libreria","cucchiaio","rana"
"lattuga, cassettiera","cucchiaio, cipolla","candela, limone","lattuga","cassettiera","cucchiaio","cipolla","candela","limone"
"caramella, agenda","mappa, documento","leone, bidet","caramella","agenda","mappa","documento","leone","bidet"
"gessetto, coccodrillo","leone, cassettiera","penna, autostrada","gessetto","coccodrillo","leone","cassettiera","penna","autostrada"
"cuscino, bersaglio","leone, equilatero","spinaci, pidocchio","cuscino","bersaglio","leone","equilatero","spinaci","pidocchio"
"pidocchio, agenda","ciotola, cassettiera","diario, rosa","pidocchio","agenda","ciotola","cassettiera","diario","rosa"
"gessetto, cassettiera","eccentrico, sega","piatto, agenda","gessetto","cassettiera","eccentrico","sega","piatto","agenda"
"spinaci, damigiana","cavolo, bidet","candela, documento","spinaci","damigiana","cavolo","bidet","candela","documento"
"rosa, spremiagrumi","fiammifero, menta","menta, coccodrillo","rosa","spremiagrumi","fiammifero","menta","menta","coccodrillo"
"mais, equilibrio","coccodrillo, panchina","succo, libreria","mais","equilibrio","coccodrillo","panchina","succo","libreria"
"lattuga, pomodoro","diario, giallo","candela, bersaglio","lattuga","pomodoro","diario","giallo","candela","bersaglio"
"﻿anello, blu","gessetto, equilatero","forchetta, sega","﻿anello","blu","gessetto","equilatero","forchetta","sega"
"verde, equilibrio","diario, forchetta","succo, cavolo","verde","equilibrio","diario","forchetta","succo","cavolo"
"cucchiaio, gessetto","stuzzicadenti, bersaglio","viola, limone","cucchiaio","gessetto","stuzzicadenti","bersaglio","viola","limone"
"cucchiaio, caramella","bidet, sega","limone, eccentrico","cucchiaio","caramella","bidet","sega","limone","eccentrico"
"giallo, lanterna","mappa, equilibrio","stuzzicadenti, verde","giallo","lanterna","mappa","equilibrio","stuzzicadenti","verde"
"viola, pomodoro","forchetta, timone","menta, ciliegio","viola","pomodoro","forchetta","timone","menta","ciliegio"
"penna, spremiagrumi","limone, panchina","cavolo, panchina","penna","spremiagrumi","limone","panchina","cavolo","panchina"
"candela, fiammifero","lavagna, viola","verde, cipolla","candela","fiammifero","lavagna","viola","verde","cipolla"
"damigiana, autostrada","diario, blu","rosa, leone","damigiana","autostrada","diario","blu","rosa","leone"
"viola, crostino","leone, eccentrico","diario, agenda","viola","crostino","leone","eccentrico","diario","agenda"
"piatto, appuntamento","forchetta, gessetto","succo, coccodrillo","piatto","appuntamento","forchetta","gessetto","succo","coccodrillo"
"pomodoro, autorità","piatto, mais","candela, mais","pomodoro","autorità","piatto","mais","candela","mais"
"fiammifero, damigiana","pomodoro, libreria","lavagna, bidet","fiammifero","damigiana","pomodoro","libreria","lavagna","bidet"
"spinaci, eccentrico","portafoglio, posacenere","cipolla, damigiana","spinaci","eccentrico","portafoglio","posacenere","cipolla","damigiana"
"eccentrico, bersaglio","rana, agenda","caramella, libreria","eccentrico","bersaglio","rana","agenda","caramella","libreria"
"libreria, soglia","mais, documento","spremiagrumi, pomodoro","libreria","soglia","mais","documento","spremiagrumi","pomodoro"
"giallo, pomodoro","spinaci, equilatero","coperta, lavagna","giallo","pomodoro","spinaci","equilatero","coperta","lavagna"
"verde, lanterna","ciotola, satellite","braccialetto, succo","verde","lanterna","ciotola","satellite","braccialetto","succo"
"succo, autorità","gessetto, agenda","panchina, pidocchio","succo","autorità","gessetto","agenda","panchina","pidocchio"
"coccodrillo, lanterna","rana, panchina","verde, satellite","coccodrillo","lanterna","rana","panchina","verde","satellite"
"penna, agenda","sega, cassettiera","rana, autostrada","penna","agenda","sega","cassettiera","rana","autostrada"
"bersaglio, appuntamento","rosa, autostrada","coperta, crostino","bersaglio","appuntamento","rosa","autostrada","coperta","crostino"
"succo, panchina","crostino, satellite","lanterna, pidocchio","succo","panchina","crostino","satellite","lanterna","pidocchio"
"portafoglio, soglia","candela, crostino","coccodrillo, appuntamento","portafoglio","soglia","candela","crostino","coccodrillo","appuntamento"
"bersaglio, documento","ciotola, diario","giallo, menta","bersaglio","documento","ciotola","diario","giallo","menta"
"coccodrillo, pidocchio","giallo, succo","verde, mais","coccodrillo","pidocchio","giallo","succo","verde","mais"
"timone, panchina","﻿anello, bidet","lattuga, mappa","timone","panchina","﻿anello","bidet","lattuga","mappa"
"pomodoro, appuntamento","cavolo, caramella","fiammifero, autostrada","pomodoro","appuntamento","cavolo","caramella","fiammifero","autostrada"
"gessetto, soglia","rosa, appuntamento","diario, succo","gessetto","soglia","rosa","appuntamento","diario","succo"
"rosa, sole","fiammifero, lanterna","giallo, spinaci","rosa","sole","fiammifero","lanterna","giallo","spinaci"
"lanterna, autostrada","panchina, bersaglio","fiammifero, documento","lanterna","autostrada","panchina","bersaglio","fiammifero","documento"
"candela, damigiana","lavagna, penna","succo, pidocchio","candela","damigiana","lavagna","penna","succo","pidocchio"
"pomodoro, cipolla","diario, soglia","limone, succo","pomodoro","cipolla","diario","soglia","limone","succo"
"gessetto, portafoglio","succo, damigiana","blu, lattuga","gessetto","portafoglio","succo","damigiana","blu","lattuga"
"gessetto, succo","panchina, soglia","ciotola, cipolla","gessetto","succo","panchina","soglia","ciotola","cipolla"
"cucchiaio, lattuga","rosa, menta","gessetto, documento","cucchiaio","lattuga","rosa","menta","gessetto","documento"
"bidet, agenda","panchina, satellite","succo, autostrada","bidet","agenda","panchina","satellite","succo","autostrada"
"portafoglio, crostino","diario, crostino","candela, libreria","portafoglio","crostino","diario","crostino","candela","libreria"
"diario, libreria","gessetto, lanterna","﻿anello, agenda","diario","libreria","gessetto","lanterna","﻿anello","agenda"
"spremiagrumi, pidocchio","lattuga, documento","cavolo, crostino","spremiagrumi","pidocchio","lattuga","documento","cavolo","crostino"
"coperta, cipolla","viola, eccentrico","diario, leone","coperta","cipolla","viola","eccentrico","diario","leone"
"braccialetto, viola","candela, diario","cucchiaio, timone","braccialetto","viola","candela","diario","cucchiaio","timone"
"blu, sole","damigiana, equilibrio","portafoglio, bersaglio","blu","sole","damigiana","equilibrio","portafoglio","bersaglio"
"timone, appuntamento","coccodrillo, autorità","portafoglio, lattuga","timone","appuntamento","coccodrillo","autorità","portafoglio","lattuga"
"cucchiaio, limone","﻿anello, viola","braccialetto, piatto","cucchiaio","limone","﻿anello","viola","braccialetto","piatto"
"satellite, soglia","leone, ciliegio","cipolla, coccodrillo","satellite","soglia","leone","ciliegio","cipolla","coccodrillo"
"portafoglio, equilatero","sole, posacenere","limone, damigiana","portafoglio","equilatero","sole","posacenere","limone","damigiana"
"lanterna, mappa","lanterna, satellite","spremiagrumi, spinaci","lanterna","mappa","lanterna","satellite","spremiagrumi","spinaci"
"coperta, cavolo","succo, menta","cucchiaio, succo","coperta","cavolo","succo","menta","cucchiaio","succo"
"candela, leone","portafoglio, lanterna","viola, menta","candela","leone","portafoglio","lanterna","viola","menta"
"piatto, autorità","diario, sole","lavagna, verde","piatto","autorità","diario","sole","lavagna","verde"
"gessetto, piatto","cavolo, mais","viola, succo","gessetto","piatto","cavolo","mais","viola","succo"
"cucchiaio, piatto","braccialetto, penna","piatto, mappa","cucchiaio","piatto","braccialetto","penna","piatto","mappa"
"﻿anello, posacenere","succo, lanterna","posacenere, bidet","﻿anello","posacenere","succo","lanterna","posacenere","bidet"
"verde, panchina","viola, cipolla","blu, documento","verde","panchina","viola","cipolla","blu","documento"
"fiammifero, portafoglio","﻿anello, coperta","lavagna, succo","fiammifero","portafoglio","﻿anello","coperta","lavagna","succo"
"verde, giallo","coperta, fiammifero","agenda, autostrada","verde","giallo","coperta","fiammifero","agenda","autostrada"
"soglia, appuntamento","sole, satellite","candela, rana","soglia","appuntamento","sole","satellite","candela","rana"
"coperta, eccentrico","libreria, autorità","equilatero, damigiana","coperta","eccentrico","libreria","autorità","equilatero","damigiana"
"fiammifero, equilatero","libreria, agenda","cipolla, autorità","fiammifero","equilatero","libreria","agenda","cipolla","autorità"
"equilatero, soglia","fiammifero, cipolla","damigiana, autorità","equilatero","soglia","fiammifero","cipolla","damigiana","autorità"
"piatto, damigiana","cipolla, autostrada","forchetta, blu","piatto","damigiana","cipolla","autostrada","forchetta","blu"
"coperta, sega","giallo, ciliegio","leone, autostrada","coperta","sega","giallo","ciliegio","leone","autostrada"
"blu, posacenere","blu, pidocchio","braccialetto, bidet","blu","posacenere","blu","pidocchio","braccialetto","bidet"
"gessetto, sole","rosa, bersaglio","giallo, equilibrio","gessetto","sole","rosa","bersaglio","giallo","equilibrio"
"verde, rosa","penna, lanterna","timone, blu","verde","rosa","penna","lanterna","timone","blu"
"fiammifero, giallo","menta, equilibrio","verde, sega","fiammifero","giallo","menta","equilibrio","verde","sega"
"limone, cassettiera","cassettiera, appuntamento","succo, ciliegio","limone","cassettiera","cassettiera","appuntamento","succo","ciliegio"
"caramella, appuntamento","sole, libreria","cuscino, satellite","caramella","appuntamento","sole","libreria","cuscino","satellite"
"cucchiaio, sega","timone, sole","candela, sega","cucchiaio","sega","timone","sole","candela","sega"
"equilibrio, documento","cavolo, cipolla","bidet, bersaglio","equilibrio","documento","cavolo","cipolla","bidet","bersaglio"
"viola, posacenere","coperta, caramella","candela, cucchiaio","viola","posacenere","coperta","caramella","candela","cucchiaio"
"posacenere, ciliegio","piatto, eccentrico","pidocchio, mappa","posacenere","ciliegio","piatto","eccentrico","pidocchio","mappa"
"spinaci, sega","blu, limone","cavolo, lattuga","spinaci","sega","blu","limone","cavolo","lattuga"
"cipolla, soglia","limone, appuntamento","coperta, pomodoro","cipolla","soglia","limone","appuntamento","coperta","pomodoro"
"cavolo, satellite","piatto, equilatero","blu, mappa","cavolo","satellite","piatto","equilatero","blu","mappa"
"gessetto, rosa","diario, pomodoro","﻿anello, pomodoro","gessetto","rosa","diario","pomodoro","﻿anello","pomodoro"
"coperta, documento","cuscino, stuzzicadenti","panchina, crostino","coperta","documento","cuscino","stuzzicadenti","panchina","crostino"
"mais, bidet","gessetto, menta","ciotola, rana","mais","bidet","gessetto","menta","ciotola","rana"
"forchetta, lavagna","penna, mappa","cuscino, diario","forchetta","lavagna","penna","mappa","cuscino","diario"
"cuscino, cassettiera","piatto, portafoglio","cucchiaio, panchina","cuscino","cassettiera","piatto","portafoglio","cucchiaio","panchina"
"blu, autorità","spinaci, cassettiera","coperta, mais","blu","autorità","spinaci","cassettiera","coperta","mais"
"mappa, autostrada","rana, bersaglio","forchetta, pidocchio","mappa","autostrada","rana","bersaglio","forchetta","pidocchio"
"coccodrillo, soglia","braccialetto, forchetta","rana, lanterna","coccodrillo","soglia","braccialetto","forchetta","rana","lanterna"
"libreria, appuntamento","autostrada, cassettiera","fiammifero, crostino","libreria","appuntamento","autostrada","cassettiera","fiammifero","crostino"
"cuscino, crostino","coperta, rana","portafoglio, spinaci","cuscino","crostino","coperta","rana","portafoglio","spinaci"
"autostrada, soglia","caramella, soglia","bidet, cassettiera","autostrada","soglia","caramella","soglia","bidet","cassettiera"
"leone, mappa","menta, soglia","mais, autostrada","leone","mappa","menta","soglia","mais","autostrada"
"equilibrio, bersaglio","satellite, equilibrio","crostino, equilibrio","equilibrio","bersaglio","satellite","equilibrio","crostino","equilibrio"
"coccodrillo, ciliegio","autostrada, autorità","gessetto, lattuga","coccodrillo","ciliegio","autostrada","autorità","gessetto","lattuga"
"rosa, eccentrico","blu, satellite","ciotola, fiammifero","rosa","eccentrico","blu","satellite","ciotola","fiammifero"
"limone, autostrada","lavagna, mais","limone, posacenere","limone","autostrada","lavagna","mais","limone","posacenere"
"leone, satellite","lavagna, soglia","penna, pomodoro","leone","satellite","lavagna","soglia","penna","pomodoro"
"rosa, lattuga","caramella, autorità","piatto, pomodoro","rosa","lattuga","caramella","autorità","piatto","pomodoro"
"forchetta, giallo","posacenere, panchina","agenda, cassettiera","forchetta","giallo","posacenere","panchina","agenda","cassettiera"
"coccodrillo, crostino","diario, limone","cucchiaio, pomodoro","coccodrillo","crostino","diario","limone","cucchiaio","pomodoro"
"penna, ciliegio","fiammifero, bersaglio","candela, ciliegio","penna","ciliegio","fiammifero","bersaglio","candela","ciliegio"
"ciliegio, satellite","blu, crostino","lavagna, portafoglio","ciliegio","satellite","blu","crostino","lavagna","portafoglio"
"forchetta, leone","eccentrico, mappa","gessetto, mais","forchetta","leone","eccentrico","mappa","gessetto","mais"
"candela, posacenere","cuscino, ciliegio","candela, autostrada","candela","posacenere","cuscino","ciliegio","candela","autostrada"
"lavagna, lanterna","candela, bidet","mais, bersaglio","lavagna","lanterna","candela","bidet","mais","bersaglio"
"ciotola, spinaci","viola, spremiagrumi","cipolla, sega","ciotola","spinaci","viola","spremiagrumi","cipolla","sega"
"verde, leone","limone, documento","rosa, damigiana","verde","leone","limone","documento","rosa","damigiana"
"braccialetto, stuzzicadenti","lanterna, sega","timone, autostrada","braccialetto","stuzzicadenti","lanterna","sega","timone","autostrada"
"fiammifero, spinaci","eccentrico, cassettiera","blu, ciliegio","fiammifero","spinaci","eccentrico","cassettiera","blu","ciliegio"
"spremiagrumi, damigiana","portafoglio, rosa","portafoglio, autorità","spremiagrumi","damigiana","portafoglio","rosa","portafoglio","autorità"
"equilatero, sega","ciotola, verde","sole, autostrada","equilatero","sega","ciotola","verde","sole","autostrada"
"cucchiaio, autostrada","sega, bersaglio","rana, libreria","cucchiaio","autostrada","sega","bersaglio","rana","libreria"
"verde, appuntamento","giallo, appuntamento","viola, cassettiera","verde","appuntamento","giallo","appuntamento","viola","cassettiera"
"coccodrillo, caramella","giallo, mais","candela, autorità","coccodrillo","caramella","giallo","mais","candela","autorità"
"blu, bersaglio","eccentrico, libreria","spremiagrumi, libreria","blu","bersaglio","eccentrico","libreria","spremiagrumi","libreria"
"bidet, pidocchio","menta, pidocchio","piatto, stuzzicadenti","bidet","pidocchio","menta","pidocchio","piatto","stuzzicadenti"
"coperta, blu","rana, pidocchio","caramella, satellite","coperta","blu","rana","pidocchio","caramella","satellite"
"piatto, crostino","lattuga, coccodrillo","limone, caramella","piatto","crostino","lattuga","coccodrillo","limone","caramella"
"cipolla, ciliegio","penna, coccodrillo","limone, ciliegio","cipolla","ciliegio","penna","coccodrillo","limone","ciliegio"
"agenda, appuntamento","mappa, cassettiera","giallo, lattuga","agenda","appuntamento","mappa","cassettiera","giallo","lattuga"
"leone, soglia","piatto, spremiagrumi","timone, sega","leone","soglia","piatto","spremiagrumi","timone","sega"
"leone, agenda","cuscino, lavagna","mais, soglia","leone","agenda","cuscino","lavagna","mais","soglia"
"menta, bersaglio","braccialetto, cavolo","stuzzicadenti, timone","menta","bersaglio","braccialetto","cavolo","stuzzicadenti","timone"
"pomodoro, crostino","posacenere, crostino","lavagna, libreria","pomodoro","crostino","posacenere","crostino","lavagna","libreria"
"candela, cavolo","ciotola, soglia","gessetto, stuzzicadenti","candela","cavolo","ciotola","soglia","gessetto","stuzzicadenti"
"cucchiaio, equilibrio","gessetto, eccentrico","ciotola, cavolo","cucchiaio","equilibrio","gessetto","eccentrico","ciotola","cavolo"
"cuscino, eccentrico","timone, cipolla","coccodrillo, damigiana","cuscino","eccentrico","timone","cipolla","coccodrillo","damigiana"
"penna, sole","limone, cavolo","diario, posacenere","penna","sole","limone","cavolo","diario","posacenere"
"timone, soglia","stuzzicadenti, leone","equilibrio, cassettiera","timone","soglia","stuzzicadenti","leone","equilibrio","cassettiera"
"cucchiaio, forchetta","crostino, sega","lavagna, mappa","cucchiaio","forchetta","crostino","sega","lavagna","mappa"
"﻿anello, fiammifero","coccodrillo, eccentrico","lavagna, panchina","﻿anello","fiammifero","coccodrillo","eccentrico","lavagna","panchina"
"crostino, agenda","cucchiaio, menta","stuzzicadenti, cipolla","crostino","agenda","cucchiaio","menta","stuzzicadenti","cipolla"
"equilibrio, autostrada","cavolo, ciliegio","coccodrillo, documento","equilibrio","autostrada","cavolo","ciliegio","coccodrillo","documento"
"braccialetto, panchina","cipolla, equilibrio","cuscino, panchina","braccialetto","panchina","cipolla","equilibrio","cuscino","panchina"
"diario, verde","penna, spinaci","spinaci, rana","diario","verde","penna","spinaci","spinaci","rana"
"braccialetto, libreria","﻿anello, autostrada","succo, posacenere","braccialetto","libreria","﻿anello","autostrada","succo","posacenere"
"coccodrillo, equilatero","diario, stuzzicadenti","viola, panchina","coccodrillo","equilatero","diario","stuzzicadenti","viola","panchina"
"forchetta, viola","fiammifero, pidocchio","cipolla, crostino","forchetta","viola","fiammifero","pidocchio","cipolla","crostino"
"﻿anello, succo","﻿anello, penna","mais, lanterna","﻿anello","succo","﻿anello","penna","mais","lanterna"
"lavagna, satellite","lanterna, libreria","panchina, autorità","lavagna","satellite","lanterna","libreria","panchina","autorità"
"braccialetto, timone","diario, eccentrico","fiammifero, penna","braccialetto","timone","diario","eccentrico","fiammifero","penna"
"viola, lattuga","rosa, crostino","piatto, panchina","viola","lattuga","rosa","crostino","piatto","panchina"
"penna, libreria","coperta, spinaci","﻿anello, giallo","penna","libreria","coperta","spinaci","﻿anello","giallo"
"piatto, coccodrillo","ciotola, panchina","timone, verde","piatto","coccodrillo","ciotola","panchina","timone","verde"
"posacenere, sega","spinaci, bersaglio","braccialetto, cucchiaio","posacenere","sega","spinaci","bersaglio","braccialetto","cucchiaio"
"autostrada, appuntamento","piatto, documento","sole, soglia","autostrada","appuntamento","piatto","documento","sole","soglia"
"bidet, ciliegio","﻿anello, ciliegio","forchetta, agenda","bidet","ciliegio","﻿anello","ciliegio","forchetta","agenda"
"blu, rana","cucchiaio, penna","pomodoro, damigiana","blu","rana","cucchiaio","penna","pomodoro","damigiana"
"caramella, documento","candela, cassettiera","diario, pidocchio","caramella","documento","candela","cassettiera","diario","pidocchio"
"cavolo, appuntamento","posacenere, libreria","coperta, cassettiera","cavolo","appuntamento","posacenere","libreria","coperta","cassettiera"
"lavagna, crostino","leone, bersaglio","caramella, bersaglio","lavagna","crostino","leone","bersaglio","caramella","bersaglio"
"ciotola, forchetta","sole, leone","candela, lavagna","ciotola","forchetta","sole","leone","candela","lavagna"
"giallo, rosa","lattuga, ciliegio","libreria, cassettiera","giallo","rosa","lattuga","ciliegio","libreria","cassettiera"
"spinaci, soglia","cuscino, caramella","spremiagrumi, sole","spinaci","soglia","cuscino","caramella","spremiagrumi","sole"
"pomodoro, rana","menta, autorità","portafoglio, mappa","pomodoro","rana","menta","autorità","portafoglio","mappa"
"rosa, ciliegio","fiammifero, forchetta","pidocchio, equilibrio","rosa","ciliegio","fiammifero","forchetta","pidocchio","equilibrio"
"sole, rana","﻿anello, diario","equilatero, appuntamento","sole","rana","﻿anello","diario","equilatero","appuntamento"
"lattuga, crostino","portafoglio, sole","damigiana, ciliegio","lattuga","crostino","portafoglio","sole","damigiana","ciliegio"
"verde, posacenere","ciliegio, bersaglio","spremiagrumi, leone","verde","posacenere","ciliegio","bersaglio","spremiagrumi","leone"
